	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000079802	47.35131004	-2.122025737	0.629484829	-3.371051434	0.000748819	0.003911834
ENSDARG00000099465	94.52628738	-1.331646042	0.441509875	-3.016118364	0.002560333	0.011234675
ENSDARG00000004322	21.57602078	-2.363980109	0.84439209	-2.799623702	0.005116221	0.019893903
ENSDARG00000052429	404.499848	-1.385551465	0.296986989	-4.665360832	3.08E-06	3.11E-05
ENSDARG00000026834	80.77012944	-1.330275906	0.473337407	-2.810417866	0.004947722	0.019360339
ENSDARG00000090930	14.67233848	-3.452853434	1.148659329	-3.005985626	0.002647215	0.011549898
ENSDARG00000098821	106.7115856	-1.629728969	0.400878039	-4.065398474	4.80E-05	0.000351131
ENSDARG00000036844	111.278845	-2.08475656	0.448180941	-4.651595748	3.29E-06	3.30E-05
ENSDARG00000098465	63.36097916	-1.221153896	0.503990409	-2.422970507	0.015394176	0.048933493
ENSDARG00000103893	311.6728922	-1.312993228	0.293069219	-4.48014716	7.46E-06	6.84E-05
ENSDARG00000031119	128.2341908	-1.720040249	0.382328262	-4.498857183	6.83E-06	6.33E-05
ENSDARG00000079482	43.06012169	-1.820185126	0.645634869	-2.819217506	0.004814088	0.018933771
ENSDARG00000036613	83.18528024	-1.192628287	0.447294113	-2.666317873	0.007668715	0.027823372
ENSDARG00000074094	108.3264041	-1.164116308	0.458444913	-2.539271949	0.011108344	0.037745674
ENSDARG00000098289	31.23735894	-1.776003011	0.686527523	-2.586936361	0.009683347	0.033786334
ENSDARG00000030166	241.2872941	-0.792664074	0.296644876	-2.672097645	0.007537871	0.027421221
ENSDARG00000096306	202.2912741	-1.025153403	0.386445222	-2.652778048	0.007983235	0.028725576
ENSDARG00000102362	388.6400448	-1.243948968	0.260623918	-4.772965493	1.82E-06	1.93E-05
ENSDARG00000078440	11.28204576	-3.066848014	1.214168546	-2.525883267	0.011540782	0.038955721
ENSDARG00000012039	402.6761431	-1.124119926	0.257535101	-4.364919271	1.27E-05	0.000109648
ENSDARG00000071213	19.67513862	-3.482054952	0.995471691	-3.497894501	0.000468947	0.002605063
ENSDARG00000009782	17.69662671	-2.819607761	1.089517171	-2.587942473	0.00965511	0.033723482
ENSDARG00000074248	197.3543666	-0.848988866	0.317067849	-2.677625213	0.007414613	0.027029188
ENSDARG00000089858	42.55650035	-1.869640784	0.637794909	-2.931413776	0.00337423	0.014069433
ENSDARG00000006639	365.0298916	-1.242327916	0.261674267	-4.747612095	2.06E-06	2.15E-05
ENSDARG00000075700	17.11389483	-2.363838117	0.958452742	-2.466306385	0.013651451	0.044497984
ENSDARG00000090418	58.15918822	-1.432495939	0.521717596	-2.745730546	0.006037633	0.022770739
ENSDARG00000057688	317.3915063	-0.89306034	0.278505646	-3.206614852	0.001343067	0.006463762
ENSDARG00000058323	148.2005456	-2.149036539	0.389912902	-5.511580994	3.56E-08	5.37E-07
ENSDARG00000034685	126.6190155	-1.693857675	0.414321749	-4.08826638	4.35E-05	0.000321815
ENSDARG00000022599	388.5944558	-0.726266639	0.272187044	-2.668263071	0.007624453	0.027709928
