"rpkm.high.pgc1.PGC1"	"PGC2"	"MeanPGC"	"Mix1"
"ERCC-00054"	0.101261045866456	0.0969616109589891	0.0991113284127223	29296.875
"ERCC-00057"	0	0	0	28.61024
"ERCC-00058"	0.00375751984932406	0.00779562247733657	0.00577657116333031	3662.10938
"ERCC-00059"	0.191068095042962	0.257240692947388	0.224154393995175	29296.875
"ERCC-00060"	3.28914464087829	3.09445967262903	3.19180215675366	468750
"ERCC-00061"	0	0	0	114.44092
"ERCC-00062"	0.342151015644413	0.326791274993256	0.334471145318835	117187.5
"ERCC-00067"	0.0231986008088703	0.0378160320173904	0.0305073164131303	7324.21876
"ERCC-00069"	0.00938553770631514	0.0155775323381783	0.0124815350222467	3662.10938
"ERCC-00071"	0.528581203476876	0.61038995434697	0.569485578911923	117187.5
"ERCC-00073"	0.0141576867291281	0.022029420731976	0.018093553730552	1831.05468
"ERCC-00074"	959.624788241039	942.403362907046	951.014075574042	3e+07
"ERCC-00075"	0	0	0	28.61024
"ERCC-00076"	2.38692644085784	2.05187583523416	2.219401138046	468750
"ERCC-00077"	0.0547249044722068	0.113536245310953	0.0841305748915799	7324.21876
"ERCC-00078"	0.251470029311862	0.227415500426471	0.239442764869167	58593.75
"ERCC-00079"	0.318152239664506	0.374722499081414	0.34643736937296	117187.5
"ERCC-00081"	0	0.00414598648607413	0.00207299324303706	457.76368
"ERCC-00083"	0.0083533122286343	0	0.00417665611431715	57.22046
"ERCC-00084"	0.139565022974893	0.135866563176437	0.137715793075665	58593.75
"ERCC-00085"	0.0429888763804183	0.0419707447121059	0.0424798105462621	14648.4375
"ERCC-00086"	0	0.00217054586623881	0.0010852729331194	228.88184
"ERCC-00092"	1.59120936651304	1.46546605602429	1.52833771126867	468750
"ERCC-00095"	3.30177091589126	2.80462855499418	3.05319973544272	234375
"ERCC-00096"	53.5187319842055	55.6589135380077	54.5888227611066	3e+07
"ERCC-00097"	0.0122424738494229	0	0.00612123692471146	915.52734
"ERCC-00098"	0	0	0	114.44092
"ERCC-00099"	0.0521710755968371	0.0442791356712717	0.0482251056340544	29296.875
"ERCC-00104"	0	0.00218986823300058	0.00109493411650029	457.76368
"ERCC-00108"	13.9917979829625	14.5770207403125	14.2844093616375	1875000
"ERCC-00109"	0.00796369878513456	0.00413051638724549	0.00604710758619003	1831.05468
"ERCC-00111"	2.11924119501877	2.06027165472466	2.08975642487172	937500
"ERCC-00112"	0.84356320617325	0.896496584893705	0.870029895533478	234375
"ERCC-00113"	23.7209007356528	23.5839110706273	23.6524059031401	7500000
"ERCC-00116"	0.632456078305112	0.689429033555712	0.660942555930412	937500
"ERCC-00117"	0	0	0	114.44092
"ERCC-00120"	0.0119455481777018	0.00826103277449099	0.0101032904760964	1831.05468
"ERCC-00123"	0.0104416402857929	0.00433259644532991	0.00738711836556139	457.76368
"ERCC-00126"	0.019090082955421	0.0257436835298091	0.022416883242615	29296.875
"ERCC-00130"	76.8922114568424	74.5240013821446	75.7081064194935	6e+07
"ERCC-00131"	1.05467880097603	1.26634882172703	1.16051381135153	234375
"ERCC-00134"	0.00778931122049658	0.0161602684931649	0.0119747898568307	3662.10938
"ERCC-00136"	11.2705225575408	10.6175623482807	10.9440424529108	3750000
"ERCC-00137"	0	0	0	1831.05468
"ERCC-00138"	0	0	0	228.88184
"ERCC-00142"	0	0	0	457.76368
"ERCC-00143"	0.049001126198328	0.0931895074714264	0.0710953168348772	7324.21876
"ERCC-00144"	0.285627382449733	0.427976776004857	0.356802079227295	58593.75
