"PGC"	"Soma"	"PGC1"	"PGC2"	"Soma1"	"Soma2"
"ERCC-00120"	0.0504512833662926	0	0.0119455481777018	0.00826103277449099	0.00545352717195191	0.0267442740331
"ERCC-00123"	0	0	0.0104416402857929	0.00433259644532991	0	0
"ERCC-00126"	0.0215002090115944	0.031082806554879	0.019090082955421	0.0257436835298091	0.00348609488868959	0
"ERCC-00130"	71.3030830365301	11.9461263663905	76.8922114568424	74.5240013821446	8.24390665877537	17.2542573785898
"ERCC-00131"	1.35618633574691	0.232121239041539	1.05467880097603	1.26634882172703	0.154179441776169	0.254099509793085
"ERCC-00134"	0.0219317825501483	0.00634134630079466	0.00778931122049658	0.0161602684931649	0.0106682137378329	0
"ERCC-00136"	8.82780786586535	1.73080079779656	11.2705225575408	10.6175623482807	2.37412679896947	2.55336619771583
"ERCC-00137"	0.0167857777059794	0.00970686528724993	0	0	0	0
"ERCC-00138"	0	0	0	0	0.00190305375271238	0
"ERCC-00142"	0.0060946332847268	0	0	0	0.00197639659510901	0
"ERCC-00143"	0.0421571381416753	0.0598383672618353	0.049001126198328	0.0931895074714264	0.03976993964852	0.0670426189197099
"ERCC-00144"	0.323921829262971	0.067821759507012	0.285627382449733	0.427976776004857	0.0253551845714542	0.0355264705867202
"ERCC-00145"	2.26069952029398	2.38284911582624	2.56440272127535	2.67502072025581	2.08712032604575	3.81531109840339
"ERCC-00147"	0.00293710088892504	0.00169846420959701	0.0125177200845517	0.0238059869200385	0.000952457010155172	0.00467088005270173
"ERCC-00148"	0.0790698476150083	0.0457244443794141	0.060485420732439	0.0448169389385341	0.0177515621305641	0.154763086442554
"ERCC-00150"	0.0525713387911361	0.0514476924645898	0.0373425660395812	0.053635561378391	0.0183594741580651	0.00643110402949376
"ERCC-00154"	0.0447620738826118	0.00970686528724993	0.0516676472391226	0.0700880173567615	0	0.00889815697190664
"ERCC-00156"	0	0	0	0	0	0
"ERCC-00157"	0.0412808232886991	0.0682052556003037	0.0481729532007551	0.0304174631696665	0.024861090830331	0.0890950888953518
"ERCC-00158"	0	0.0186103386081744	0.0374068967278375	0.00646725447973783	0.0113849681174926	0.0139580631759899
"ERCC-00160"	0.230505100853443	0.264254056749938	0.212565375917616	0.214542245513564	0.196708651693555	0.366572929681145
"ERCC-00162"	0.712384554420495	0.607968998497984	0.632527815553518	0.622278484099134	0.760115328349152	0.694362490128975
"ERCC-00163"	0.066401197997134	0.201591749252887	0.102193468019922	0.0693135641263001	0.084337174042856	0.184796530703851
"ERCC-00164"	0	0.00340025222390947	0	0.00649889466799487	0	0
"ERCC-00165"	0.609889673232277	0.699395228363103	0.496854436589978	0.502710370579805	0.322925524863929	0.969909314246278
"ERCC-00168"	0.0205396283843674	0.00678722221256928	0.033347988662751	0.034593074743181	0.0133213762689867	0.0559958237568031
"ERCC-00170"	0.152729246224102	0.0390646768207311	0.0876240405918618	0.125522476487476	0.0438130224671379	0.0280252803162104
"ERCC-00171"	36.3711904591698	25.8152064055293	27.4116504670546	30.8682568575667	11.1135324419785	25.3770855609445
